GEOID10,GEOID20,WEIGHT
100010432023,100010432023,0.9950
100010432024,100010432024,1.0000
100010433001,100010433001,0.9943
100010433002,100010433002,1.0000
100010433003,100010433003,1.0000
100010434001,100010434001,1.0000
100010434002,100010434002,0.2108
100010434002,100010434003,0.7890
100030002001,100030002001,1.0000
100030002002,100030002002,1.0000
100030002003,100030002003,0.9848
100030002003,100030108003,0.0152
100030002004,100030002004,1.0000
100030002005,100030002005,1.0000
100030002006,100030002006,1.0000
100030003001,100030002006,0.0124
100030003001,100030003003,0.9876
100030003002,100030003003,1.0000
100030003003,100030003001,1.0000
100030003004,100030003002,1.0000
100030004001,100030004001,1.0000
100030004002,100030004002,1.0000
100030004003,100030004003,0.9980
100030005001,100030005001,1.0000
100030005002,100030005002,1.0000
100030005003,100030005003,1.0000
100030005004,100030005004,1.0000
100030006011,100030006011,0.9970
100030006012,100030006012,1.0000
100030006013,100030006013,1.0000
100030006021,100030006021,1.0000
100030006022,100030006022,1.0000
100030006023,100030006023,1.0000
100030009001,100030009001,1.0000
100030009002,100030009002,1.0000
100030009003,100030009003,1.0000
100030011001,100030011001,0.9947
100030011002,100030011002,1.0000
100030011003,100030011003,1.0000
100030012001,100030012001,1.0000
100030012002,100030012002,1.0000
100030013001,100030013001,1.0000
100030013002,100030013002,1.0000
100030013003,100030013003,0.9201
100030013003,100030013004,0.0799
100030013004,100030013004,1.0000
100030014001,100030012002,0.0176
100030014001,100030014001,0.9770
100030014002,100030014002,1.0000
100030015001,100030015001,0.9884
100030015001,100030016001,0.0116
100030015002,100030015002,0.9698
100030015002,100030016003,0.0302
100030016001,100030016001,0.9993
100030016002,100030016002,1.0000
100030016003,100030016003,1.0000
100030019021,100030019021,0.9959
100030019022,100030019022,1.0000
100030021001,100030021001,1.0000
100030021002,100030021002,1.0000
100030022001,100030022001,1.0000
100030022002,100030022002,1.0000
100030022003,100030022003,1.0000
100030023001,100030023001,1.0000
100030023002,100030023002,1.0000
100030023003,100030023003,1.0000
100030024001,100030024001,1.0000
100030024002,100030024002,1.0000
100030024003,100030024003,1.0000
100030024004,100030024004,0.9726
100030024004,100030122001,0.0274
100030025001,100030025001,1.0000
100030025002,100030025002,1.0000
100030025003,100030025003,1.0000
100030026001,100030026001,1.0000
100030026002,100030026002,1.0000
100030026003,100030026003,1.0000
100030026004,100030026004,1.0000
100030027001,100030027001,1.0000
100030027002,100030027002,1.0000
100030028001,100030016001,0.0121
100030028001,100030028001,0.5372
100030028001,100030028002,0.4508
100030028002,100030011002,0.0413
100030028002,100030028001,0.9576
100030029001,100030029001,1.0000
100030029002,100030029002,1.0000
100030029003,100030029003,1.0000
100030029004,100030029004,1.0000
100030030021,100030030022,0.9994
100030030022,100030030022,1.0000
100030030023,100030030021,1.0000
100030101011,100030101051,1.0000
100030101012,100030101052,0.9793
100030101012,100030101061,0.0172
100030101013,100030101061,0.7064
100030101013,100030101062,0.2084
100030101013,100030101063,0.0852
100030101041,100030101041,1.0000
100030101042,100030101042,1.0000
100030102001,100030102001,1.0000
100030102002,100030102002,1.0000
100030103001,100030103001,1.0000
100030103002,100030103002,1.0000
100030103003,100030103003,1.0000
100030104001,100030104001,1.0000
100030104002,100030104002,1.0000
100030104003,100030104003,1.0000
100030104004,100030104004,1.0000
100030105021,100030105021,1.0000
100030105022,100030105022,1.0000
100030105023,100030105023,1.0000
100030105024,100030105024,1.0000
100030105025,100030105025,1.0000
100030107021,100030107031,1.0000
100030107022,100030107042,1.0000
100030107023,100030107041,0.7610
100030107023,100030107043,0.2339
100030107024,100030107032,1.0000
100030108001,100030108001,0.9944
100030108002,100030108002,0.9939
100030108003,100030108003,0.9993
100030109001,100030109001,1.0000
100030109002,100030109002,1.0000
100030109003,100030109003,0.9968
100030110001,100030110001,1.0000
100030110002,100030110002,1.0000
100030110003,100030110003,1.0000
100030111001,100030111001,1.0000
100030111002,100030111001,1.0000
100030112011,100030112011,1.0000
100030112012,100030112012,1.0000
100030112021,100030112021,0.9991
100030112022,100030112022,1.0000
100030112031,100030112031,1.0000
100030112032,100030112032,1.0000
100030112033,100030112033,1.0000
100030112041,100030112041,0.9978
100030112042,100030112031,0.0116
100030112042,100030112042,0.9884
100030112051,100030112021,0.0131
100030112051,100030112042,0.0100
100030112051,100030112051,0.9767
100030112052,100030112021,0.0247
100030112052,100030112052,0.9699
100030112061,100030112061,0.9929
100030112062,100030112062,1.0000
100030113001,100030113001,1.0000
100030113002,100030113002,1.0000
100030114001,100030114001,1.0000
100030114002,100030114002,1.0000
100030114003,100030114003,1.0000
100030115001,100030115001,1.0000
100030115002,100030115002,1.0000
100030115003,100030115003,1.0000
100030116001,100030116001,0.9901
100030116002,100030116002,1.0000
100030117001,100030117001,1.0000
100030117002,100030117002,0.9530
100030117002,100030117003,0.0470
100030117003,100030117003,0.9998
100030117004,100030117004,1.0000
100030118001,100030118002,0.4603
100030118001,100030118003,0.5397
100030118002,100030118001,0.3449
100030118002,100030118004,0.6551
100030119001,100030119001,0.9997
100030119002,100030119002,1.0000
100030119003,100030119003,0.9996
100030120001,100030120001,1.0000
100030120002,100030120002,1.0000
100030120003,100030120003,0.9989
100030121001,100030121001,1.0000
100030121002,100030121002,0.9868
100030121002,100030122004,0.0132
100030121003,100030121003,0.9916
100030122001,100030024004,0.2489
100030122001,100030122001,0.7503
100030122002,100030122002,1.0000
100030122003,100030122003,0.9924
100030122004,100030121003,0.0189
100030122004,100030122004,0.9811
100030123001,100030123001,0.9776
100030123002,100030024004,0.0177
100030123002,100030122003,0.0344
100030123002,100030123002,0.9479
100030124001,100030124001,0.9716
100030124001,100030125003,0.0243
100030124002,100030124002,1.0000
100030124003,100030124003,1.0000
100030124004,100030120003,0.0290
100030124004,100030124004,0.9705
100030125001,100030125001,1.0000
100030125002,100030125002,0.9897
100030125003,100030125003,1.0000
100030125004,100030125004,1.0000
100030125005,100030125005,1.0000
100030125006,100030125006,1.0000
100030126001,100030126001,0.9906
100030126002,100030126002,1.0000
100030126003,100030126003,1.0000
100030127001,100030127001,0.9980
100030127002,100030127002,0.9770
100030127002,100030127005,0.0230
100030127003,100030127003,0.9908
100030127004,100030127004,1.0000
100030127005,100030127001,0.0565
100030127005,100030127002,0.0281
100030127005,100030127005,0.9155
100030129001,100030027001,0.2515
100030129001,100030129001,0.7485
100030129002,100030129002,1.0000
100030129003,100030129003,0.9923
100030130001,100030130001,1.0000
100030130002,100030130002,1.0000
100030131001,100030131001,0.9894
100030131001,100030132001,0.0106
100030131002,100030131002,1.0000
100030131003,100030131003,1.0000
100030132001,100030132001,1.0000
100030132002,100030132002,1.0000
100030132003,100030132003,1.0000
100030133001,100030133001,1.0000
100030133002,100030133002,1.0000
100030134001,100030134001,1.0000
100030134002,100030134002,1.0000
100030134003,100030134003,1.0000
100030135011,100030135011,1.0000
100030135012,100030135012,1.0000
100030135013,100030135013,1.0000
100030135014,100030135013,0.0130
100030135014,100030135014,0.3157
100030135014,100030135015,0.6712
100030135031,100030135081,1.0000
100030135032,100030135082,1.0000
100030135033,100030135071,1.0000
100030135034,100030135083,1.0000
100030135051,100030135051,1.0000
100030135052,100030135052,1.0000
100030135061,100030135061,1.0000
100030135062,100030135062,1.0000
100030135063,100030135063,1.0000
100030136041,100030136041,1.0000
100030136042,100030136042,0.9940
100030136043,100030136043,1.0000
100030136071,100030136071,0.9901
100030136072,100030136072,1.0000
100030136073,100030136073,1.0000
100030136074,100030136074,0.9829
100030136074,100030136132,0.0171
100030136081,100030136081,1.0000
100030136082,100030136082,1.0000
100030136101,100030136101,0.9996
100030136102,100030136102,1.0000
100030136103,100030136103,0.9995
100030136104,100030136104,0.9989
100030136111,100030136113,0.5593
100030136111,100030136114,0.4407
100030136112,100030136111,1.0000
100030136113,100030136112,1.0000
100030136121,100030135071,0.0415
100030136121,100030136121,0.9585
100030136122,100030136122,1.0000
100030136123,100030136123,1.0000
100030136131,100030136131,1.0000
100030136132,100030136132,1.0000
100030136133,100030136042,0.0196
100030136133,100030136133,0.9801
100030136141,100030136141,0.9905
100030136142,100030136142,0.9866
100030136151,100030136151,0.9924
100030136152,100030136041,0.0123
100030136152,100030136042,0.0180
100030136152,100030136082,0.0111
100030136152,100030136152,0.9586
100030136153,100030136153,0.9972
100030137001,100030137001,0.9994
100030137002,100030137002,1.0000
100030137003,100030137003,1.0000
100030138001,100030138001,1.0000
100030138002,100030138002,0.9829
100030138002,100030138003,0.0165
100030138003,100030138003,1.0000
100030139011,100030139011,0.8728
100030139011,100030139013,0.1272
100030139012,100030139012,1.0000
100030139013,100030139013,1.0000
100030139031,100030139032,0.2231
100030139031,100030139033,0.7769
100030139032,100030139031,1.0000
100030139041,100030139013,0.0117
100030139041,100030139062,0.5094
100030139041,100030139063,0.4769
100030139042,100030139061,0.9461
100030139042,100030139062,0.0539
100030139043,100030139053,1.0000
100030139044,100030139051,0.5734
100030139044,100030139052,0.4266
100030140001,100030140001,0.9996
100030140002,100030140002,0.9808
100030140002,100030140003,0.0155
100030140003,100030140003,1.0000
100030140004,100030139011,0.0159
100030140004,100030140002,0.0194
100030140004,100030140004,0.9556
100030141001,100030140002,0.0703
100030141001,100030141001,0.9232
100030141002,100030141002,1.0000
100030141003,100030141003,1.0000
100030142001,100030142001,0.9966
100030143001,100030143011,0.7216
100030143001,100030143021,0.2781
100030143002,100030143011,0.1614
100030143002,100030143022,0.8360
100030143003,100030143011,0.8556
100030143003,100030143023,0.1444
100030144021,100030144021,1.0000
100030144022,100030144022,1.0000
100030144031,100030144031,1.0000
100030144032,100030144021,0.0103
100030144032,100030144032,0.9897
100030144033,100030144022,0.0203
100030144033,100030144033,0.9724
100030144041,100030144041,1.0000
100030144042,100030144042,1.0000
100030145011,100030145011,1.0000
100030145021,100030145021,0.9984
100030145022,100030145022,1.0000
100030147021,100030147021,1.0000
100030147031,100030147031,1.0000
100030147032,100030147032,0.9825
100030147032,100030147051,0.0175
100030147033,100030147033,1.0000
100030147034,100030147034,1.0000
100030147051,100030147051,1.0000
100030147052,100030147052,0.9983
100030147053,100030147052,0.0371
100030147053,100030147053,0.9629
100030147061,100030147061,1.0000
100030147062,100030147062,1.0000
100030148031,100030148032,0.4098
100030148031,100030148033,0.5902
100030148032,100030148031,0.9829
100030148032,100030148082,0.0168
100030148051,100030148121,0.9957
100030148052,100030148122,0.2429
100030148052,100030148123,0.7368
100030148052,100030148141,0.0202
100030148053,100030148111,0.9933
100030148054,100030148101,0.0164
100030148054,100030148112,0.6535
100030148054,100030148113,0.3301
100030148071,100030148131,1.0000
100030148072,100030148141,0.6165
100030148072,100030148142,0.3835
100030148073,100030148132,0.6898
100030148073,100030148133,0.3058
100030148081,100030148081,1.0000
100030148082,100030148082,1.0000
100030148083,100030148083,0.8316
100030148083,100030148084,0.1684
100030148084,100030148084,1.0000
100030148091,100030148091,0.5171
100030148091,100030148094,0.3223
100030148091,100030148095,0.1574
100030148092,100030148092,0.9983
100030148093,100030148093,0.7585
100030148093,100030163013,0.2415
100030148101,100030148101,1.0000
100030148102,100030148082,0.0175
100030148102,100030148102,0.9825
100030148103,100030148082,0.0126
100030148103,100030148103,0.9874
100030149031,100030149033,0.3677
100030149031,100030149035,0.0373
100030149031,100030149036,0.5951
100030149032,100030149031,1.0000
100030149033,100030149032,1.0000
100030149034,100030149034,0.4402
100030149034,100030149035,0.5598
100030149041,100030149041,1.0000
100030149042,100030149042,0.9939
100030149061,100030149061,1.0000
100030149062,100030149062,0.7013
100030149062,100030149063,0.2987
100030149071,100030149071,1.0000
100030149072,100030149072,1.0000
100030149073,100030149073,1.0000
100030149081,100030149081,0.6735
100030149081,100030149082,0.3265
100030149091,100030149091,1.0000
100030149092,100030149092,0.9990
100030149093,100030149093,0.9778
100030149093,100030150004,0.0148
100030149094,100030149094,1.0000
100030150001,100030150004,0.8238
100030150001,100030150005,0.1762
100030150002,100030150001,0.9910
100030150003,100030150002,1.0000
100030150004,100030150003,1.0000
100030151001,100030151001,1.0000
100030151002,100030151002,1.0000
100030152001,100030152001,1.0000
100030152002,100030152002,1.0000
100030152003,100030151001,0.0189
100030152003,100030152003,0.9811
100030152004,100030152004,1.0000
100030152005,100030152005,0.9819
100030154001,100030019022,0.0131
100030154001,100030154001,0.9838
100030154002,100030154002,1.0000
100030155021,100030155021,1.0000
100030155022,100030155022,0.9982
100030156001,100030156001,0.9709
100030156001,100030159001,0.0291
100030156002,100030156002,0.9871
100030156002,100030159001,0.0129
100030158021,100030158021,1.0000
100030158022,100030158022,0.9963
100030159001,100030159001,1.0000
100030159002,100030159002,1.0000
100030159003,100030159003,1.0000
100030160001,100030151001,0.0882
100030160001,100030160001,0.3034
100030160001,100030160002,0.6083
100030161001,100030160001,0.0260
100030161001,100030161001,0.9641
100030161002,100030161002,0.9993
100030162001,100030162001,1.0000
100030162002,100030162002,1.0000
100030162003,100030162003,1.0000
100030163011,100030163012,0.2635
100030163011,100030163013,0.7313
100030163012,100030163011,0.3803
100030163012,100030163014,0.5999
100030163021,100030163071,0.9772
100030163022,100030149041,0.0372
100030163022,100030163061,0.9625
100030163023,100030163062,0.3311
100030163023,100030163063,0.6542
100030163023,100030163082,0.0146
100030163051,100030163081,0.1030
100030163051,100030163082,0.8970
100030163052,100030163091,1.0000
100030163053,100030162003,0.0258
100030163053,100030163092,0.9742
100030164011,100030164011,1.0000
100030164012,100030164012,0.2665
100030164012,100030164013,0.2432
100030164012,100030164014,0.4871
100030164041,100030164041,1.0000
100030164042,100030164042,1.0000
100030164043,100030164043,1.0000
100030166011,100030166092,0.3853
100030166011,100030166093,0.6139
100030166012,100030166091,0.9993
100030166013,100030166101,0.3909
100030166013,100030166102,0.1225
100030166013,100030166103,0.4048
100030166013,100030166104,0.0818
100030166021,100030166111,0.5703
100030166021,100030166112,0.1510
100030166021,100030166113,0.2787
100030166022,100030166121,0.3531
100030166022,100030166122,0.1009
100030166022,100030166123,0.5441
100030166041,100030166132,0.5699
100030166041,100030166133,0.4301
100030166042,100030166141,0.2031
100030166042,100030166142,0.3234
100030166042,100030166143,0.4735
100030166043,100030166131,0.4242
100030166043,100030166134,0.5758
100030166081,100030166081,1.0000
100030166082,100030166082,1.0000
100030168011,100030168061,0.2953
100030168011,100030168062,0.4982
100030168011,100030168063,0.2066
100030168012,100030168051,1.0000
100030168041,100030168071,0.5136
100030168041,100030168081,0.0499
100030168041,100030168083,0.2704
100030168041,100030168084,0.1011
100030168041,100030168085,0.0650
100030168042,100030168082,0.9979
100030169011,100030169011,0.9946
100030169012,100030169012,0.9998
100030169041,100030169041,1.0000
100030169042,100030169041,1.0000
100039801001,100030107042,0.0255
100039801001,100039801001,0.9740
100050501011,100050501012,0.7122
100050501011,100050501013,0.2877
100050501012,100050501011,1.0000
100050501031,100050501032,0.5429
100050501031,100050501033,0.4570
100050501032,100050501031,0.4948
100050501032,100050501034,0.5052
100050501041,100050501041,1.0000
100050501042,100050501042,1.0000
100050501043,100050501043,1.0000
100050501051,100050501051,0.5563
100050501051,100050501052,0.4426
100050501052,100050501053,0.3834
100050501052,100050501054,0.6166
100050502001,100050502001,1.0000
100050502002,100050502002,0.3678
100050502002,100050502003,0.6322
100050503011,100050503041,1.0000
100050503012,100050503031,0.5716
100050503012,100050503032,0.4284
100050503013,100050503042,0.4999
100050503013,100050503043,0.4965
100050503021,100050503022,0.4057
100050503021,100050503023,0.5943
100050503022,100050503021,1.0000
100050504011,100050504011,1.0000
100050504012,100050504012,1.0000
100050504031,100050504031,0.3536
100050504031,100050504032,0.6406
100050504051,100050504051,1.0000
100050504052,100050504052,1.0000
100050504061,100050504061,1.0000
100050504062,100050504062,0.9995
100050504063,100050504063,0.3052
100050504063,100050504064,0.6845
100050504071,100050504071,1.0000
100050504072,100050504072,1.0000
100050504073,100050504073,1.0000
100050504081,100050504082,0.8166
100050504081,100050504083,0.1834
100050504082,100050504081,1.0000
100050505011,100050505011,1.0000
100050505012,100050505012,0.3026
100050505012,100050505013,0.6974
100050505031,100050505032,0.8863
100050505031,100050505033,0.1135
100050505032,100050505031,0.9989
100050505041,100050505051,1.0000
100050505042,100050505061,1.0000
100050505043,100050505062,1.0000
100050506011,100050506012,0.4273
100050506011,100050506013,0.5727
100050506012,100050506011,1.0000
100050506021,100050506032,0.1822
100050506021,100050506041,0.8178
100050506022,100050506031,0.2520
100050506022,100050506041,0.0178
100050506022,100050506042,0.7302
100050506023,100050506031,0.1206
100050506023,100050506043,0.8794
100050507011,100050507012,0.5700
100050507011,100050507013,0.4300
100050507012,100050507011,1.0000
100050507031,100050507031,1.0000
100050507032,100050507032,1.0000
100050507041,100050507071,0.0287
100050507041,100050507081,0.9713
100050507042,100050507071,0.4345
100050507042,100050507072,0.5532
100050507042,100050507081,0.0124
100050507051,100050507091,0.3223
100050507051,100050507092,0.6777
100050507052,100050507101,0.6316
100050507052,100050507102,0.3684
100050507053,100050507111,0.6126
100050507053,100050507112,0.3821
100050507054,100050507112,1.0000
100050507061,100050507061,1.0000
100050507062,100050507062,0.5147
100050507062,100050507063,0.4853
100050507063,100050507061,0.9308
100050507063,100050511032,0.0692
100050508011,100050508011,1.0000
100050508012,100050508012,0.3982
100050508012,100050508013,0.6018
100050508021,100050508051,0.4479
100050508021,100050508052,0.5521
100050508022,100050508041,0.5244
100050508022,100050508042,0.4756
100050508031,100050508064,0.8060
100050508031,100050508071,0.1940
100050508032,100050508063,0.4840
100050508032,100050508072,0.1296
100050508032,100050508082,0.3864
100050508033,100050508081,0.4640
100050508033,100050508083,0.5360
100050508034,100050508061,0.4514
100050508034,100050508062,0.5313
100050508034,100050508064,0.0173
100050509011,100050509052,0.0190
100050509011,100050509053,0.5010
100050509011,100050509054,0.4794
100050509021,100050509031,0.5018
100050509021,100050509032,0.4982
100050509022,100050509041,0.5646
100050509022,100050509042,0.4354
100050509023,100050509051,0.1944
100050509023,100059800001,0.7988
100050510031,100050510083,0.4369
100050510031,100050510091,0.5631
100050510032,100050510081,0.2781
100050510032,100050510082,0.7219
100050510033,100050510092,0.3077
100050510033,100050510093,0.6923
100050510041,100050510101,0.2222
100050510041,100050510102,0.4490
100050510041,100050510111,0.3289
100050510042,100050510103,0.3767
100050510042,100050510112,0.1981
100050510042,100050510113,0.4221
100050510051,100050510131,0.5791
100050510051,100050510132,0.4208
100050510052,100050510121,1.0000
100050510053,100050510122,1.0000
100050510061,100050510141,0.4568
100050510061,100050510142,0.5353
100050510062,100050510151,0.6486
100050510062,100050510152,0.3502
100050510071,100050510161,0.2464
100050510071,100050510162,0.7536
100050510072,100050510172,1.0000
100050510073,100050510171,0.3031
100050510073,100050510173,0.6953
100050511011,100050511011,1.0000
100050511012,100050511012,1.0000
100050511013,100050511013,1.0000
100050511021,100050511021,1.0000
100050511022,100050511022,0.9619
100050511022,100050511023,0.0381
100050511023,100050511023,1.0000
100050511031,100050511022,0.0178
100050511031,100050511031,0.9822
100050511032,100050511032,1.0000
100050511033,100050511033,1.0000
100050512011,100050512011,1.0000
100050512012,100050512012,1.0000
100050512021,100050512021,1.0000
100050512022,100050512022,1.0000
100050512031,100050512031,1.0000
100050512032,100050512032,1.0000
100050512033,100050512033,1.0000
100050512034,100050512034,1.0000
100050512041,100050512041,1.0000
100050512042,100050512022,0.0404
100050512042,100050512042,0.9596
100050512043,100050512043,1.0000
100050512044,100050512044,1.0000
100050512051,100050512051,0.9988
100050512052,100050512052,1.0000
100050513011,100050513082,0.4976
100050513011,100050513083,0.5024
100050513012,100050513081,1.0000
100050513013,100050513071,1.0000
100050513021,100050513021,1.0000
100050513022,100050513022,0.6460
100050513022,100050513023,0.3540
100050513031,100050513133,0.4646
100050513031,100050513141,0.5354
100050513032,100050513131,0.3933
100050513032,100050513132,0.6067
100050513033,100050513142,1.0000
100050513051,100050513111,0.5709
100050513051,100050513121,0.4291
100050513052,100050513112,0.9999
100050513053,100050513122,1.0000
100050513061,100050513091,0.0284
100050513061,100050513101,0.9716
100050513062,100050513091,1.0000
100050513063,100050513092,1.0000
100050514001,100050514002,0.3115
100050514001,100050514003,0.6885
100050514002,100050514001,1.0000
100050515001,100050515021,1.0000
100050515002,100050515011,0.7597
100050515002,100050515012,0.2403
100050515003,100050515022,0.9954
100050515004,100050515023,1.0000
100050517011,100050517011,1.0000
100050517012,100050517012,0.2568
100050517012,100050517013,0.7431
100050517021,100050517021,1.0000
100050517022,100050517022,1.0000
100050517023,100050517023,1.0000
100050518011,100050518013,0.4110
100050518011,100050518014,0.5890
100050518012,100050518011,0.2115
100050518012,100050518012,0.7884
100050518021,100050518022,0.3797
100050518021,100050518023,0.6203
100050518022,100050518021,1.0000
100050519001,100050519001,1.0000
100050519002,100050519002,0.3880
100050519002,100050519003,0.6120
