GEOID10,GEOID20,WEIGHT
100010401001,100010401003,0.4809
100010401001,100010401004,0.5191
100010401002,100010401001,1.0000
100010401003,100010401002,1.0000
100010402011,100010402011,0.9994
100010402012,100010402012,0.3536
100010402012,100010402013,0.6383
100010402021,100010402041,0.2985
100010402021,100010402042,0.2790
100010402021,100010402043,0.4225
100010402022,100010402051,0.0459
100010402022,100010402052,0.0500
100010402022,100010402053,0.0376
100010402022,100010402061,0.8665
100010402031,100010402032,0.4637
100010402031,100010402033,0.5363
100010402032,100010402031,1.0000
100010405011,100010405012,0.4999
100010405011,100010405013,0.5001
100010405012,100010405011,1.0000
100010405021,100010405021,1.0000
100010405022,100010405022,0.9999
100010407001,100010407001,0.9999
100010407002,100010407002,1.0000
100010407003,100010407003,0.9986
100010409001,100010409001,0.5649
100010409001,100010409002,0.4351
100010410001,100010410001,1.0000
100010410002,100010410002,0.0610
100010410002,100010410003,0.8954
100010410002,100019800001,0.0413
100010411001,100010411011,0.3797
100010411001,100010411012,0.5359
100010411001,100010422033,0.0843
100010411002,100010411013,0.0788
100010411002,100010432021,0.0296
100010411002,100019800001,0.8887
100010412001,100010412002,0.5397
100010412001,100010412003,0.4544
100010412002,100010411011,0.0275
100010412002,100010412001,0.8632
100010412002,100010412003,0.1094
100010413001,100010413001,0.2775
100010413001,100010413002,0.7119
100010413001,100010415001,0.0106
100010414001,100010414001,1.0000
100010414002,100010414002,1.0000
100010415001,100010415001,0.9905
100010415002,100010415002,0.9999
100010416001,100010415001,0.0311
100010416001,100010415002,0.0184
100010416001,100010416001,0.9504
100010417011,100010417011,0.9572
100010417011,100010418021,0.0427
100010417012,100010417012,0.1518
100010417012,100010417013,0.2905
100010417012,100010417014,0.5578
100010417021,100010417021,1.0000
100010417022,100010417022,0.9999
100010418011,100010418031,0.4671
100010418011,100010418032,0.5329
100010418012,100010418042,1.0000
100010418013,100010418041,0.1938
100010418013,100010418043,0.8062
100010418021,100010418022,0.2193
100010418021,100010418023,0.7807
100010418022,100010418021,1.0000
100010419001,100010419002,0.3351
100010419001,100010419003,0.6649
100010419002,100010419001,1.0000
100010420001,100010420001,1.0000
100010420002,100010420002,1.0000
100010421001,100010421001,1.0000
100010421002,100010421002,1.0000
100010422011,100010422031,0.2774
100010422011,100010422032,0.3788
100010422011,100010422033,0.3437
100010422012,100010422041,0.1269
100010422012,100010422042,0.8731
100010422013,100010422051,0.5271
100010422013,100010422052,0.4729
100010422021,100010422071,1.0000
100010422022,100010422081,0.4397
100010422022,100010422082,0.5603
100010422023,100010422061,0.3500
100010422023,100010422062,0.6500
100010425001,100010425001,0.9995
100010425002,100010425002,0.3506
100010425002,100010425003,0.6494
100010428001,100010428011,1.0000
100010428002,100010428021,0.3853
100010428002,100010428023,0.6052
100010428003,100010428022,1.0000
100010429001,100010429001,1.0000
100010429002,100010429001,0.0136
100010429002,100010429002,0.9864
100010430001,100010430001,1.0000
100010430002,100010430002,0.9957
100010430003,100010430003,1.0000
100010431001,100010431001,1.0000
100010431002,100010431002,1.0000
100010432021,100010405021,0.0127
100010432021,100010432021,0.9873
100010432022,100010432022,0.9834
100010432022,100010434003,0.0157
